,Host,Dokumente,Land,Date
1937,The University of New Mexico (UNM): LoboVault,12358,us,2007-02-22
1938,The European Journal of Comparative Economics (EJCE),118,it,2007-02-22
1939,Michigan State Univ. Libraries: Digital Collections,13155,us,2007-02-22
1940,"Univ. of Tennessee, Knoxville: Digital Library Center",25910,us,2007-02-14
1941,XIOS Hogeschool Limburg: DoKS,733,be,2007-02-13
1942,Texas State Univ.: eCommons@TxState,1575,us,2007-02-13
1943,Tampereen yliopiston sähköiset julkaisut / Tampere Univ. Electronic Publications (TamPub),380,fi,2007-02-13
1944,"Southern Cross Univ., Australia: epublications@SCU",7244,au,2007-02-13
1945,"Middle East Technical Univ., Ankara: METU Library ETD Repository",2538,tr,2007-02-13
1946,Florida State University: Electronic Theses and Disserations (ETDs@FSU),3110,us,2007-02-13
1947,DigitalCommons@Fayetteville State Univ.,265,us,2007-02-13
1948,Youngstown State Univ.: Digital.Maag,8087,us,2007-02-12
1949,Yale Univ.: The Manuscripts and Archives Digital Images Database (MADID),6577,us,2007-02-12
1950,Universität der Künste Berlin: Elektronische Hochschulschriften,28,de,2007-02-12
1951,University of North Carolina: Documenting the American South,3206,us,2007-02-12
1952,Universidade do Minho: Papadocs,225,pt,2007-02-12
1953,Univ. of Pennsylvania: ScholaryCommons@Penn,16421,us,2007-02-12
1954,Institut National des Sciences Appliquées de Lyon (INSA): Thèses,1028,fr,2007-02-12
1955,EagleSpace at Eastern Michigan Univ.,2043,us,2007-02-12
